date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2009-12-07,10002,1140,0,8,742
2009-12-14,10002,1081,0,8,742
2009-12-21,10002,1069,0,8,742
2009-12-28,10002,1067,0,8,742
2010-01-04,10002,1064,0,8,742
2010-01-11,10002,1004,0,8,742
2010-01-18,10002,860,0,8,742
2010-01-25,10002,808,0,8,742
2010-02-01,10002,772,0,8,742
2010-02-08,10002,759,0,8,742
2010-02-15,10002,717,565,8,742
2010-02-22,10002,1245,565,8,742
2010-03-01,10002,1048,565,8,742
2010-03-08,10002,613,565,8,742
2010-03-15,10002,600,565,8,742
2010-03-22,10002,504,565,8,742
2010-03-29,10002,491,565,8,742
2010-04-05,10002,407,565,8,742
2010-04-12,10002,0,1282,8,742
2010-04-19,10002,701,1282,8,742
2010-04-26,10002,425,1282,8,742
2010-05-03,10002,404,1282,8,742
2010-05-10,10002,242,1282,8,742
2010-05-17,10002,0,1282,8,742
2010-05-24,10002,0,1282,8,742
2010-05-31,10002,0,1282,8,742
2010-06-07,10002,0,1282,8,742
2010-06-14,10002,0,1282,8,742
2010-06-21,10002,0,1282,8,742
2010-06-28,10002,0,1282,8,742
2010-07-05,10002,0,1282,8,742
2010-07-12,10002,0,1282,8,742
2010-07-19,10002,0,1282,8,742
2010-07-26,10002,0,1282,8,742
2010-08-02,10002,0,1282,8,742
2010-08-09,10002,0,1282,8,742
2010-08-16,10002,0,1282,8,742
2010-08-23,10002,0,1282,8,742
2010-08-30,10002,0,1282,8,742
2010-09-06,10002,0,1282,8,742
2010-09-13,10002,0,1282,8,742
2010-09-20,10002,0,1282,8,742
2010-09-27,10002,0,1282,8,742
2010-10-04,10002,0,1282,8,742
2010-10-11,10002,0,1282,8,742
2010-10-18,10002,0,1282,8,742
2010-10-25,10002,0,1282,8,742
2010-11-01,10002,0,1282,8,742
2010-11-08,10002,0,1282,8,742
2010-11-15,10002,0,1282,8,742
2010-11-22,10002,0,1282,8,742
2010-11-29,10002,0,1282,8,742
2010-12-06,10002,0,1282,8,742
2010-12-13,10002,0,1282,8,742
2010-12-20,10002,0,1282,8,742
2010-12-27,10002,0,1282,8,742
2011-01-03,10002,0,1282,8,742
2011-01-10,10002,0,1282,8,742
2011-01-17,10002,0,1282,8,742
2011-01-24,10002,0,1282,8,742
2011-01-31,10002,0,1282,8,742
2011-02-07,10002,0,1282,8,742
2011-02-14,10002,0,1282,8,742
2011-02-21,10002,0,1282,8,742
2011-02-28,10002,0,1282,8,742
2011-03-07,10002,0,1282,8,742
2011-03-14,10002,0,1282,8,742
2011-03-21,10002,0,1282,8,742
2011-03-28,10002,0,1282,8,742
2011-04-04,10002,0,1282,8,742
2011-04-11,10002,0,1282,8,742
2011-04-18,10002,0,1282,8,742
2009-12-07,10002R,46,0,18,28
2009-12-14,10002R,46,0,18,28
2009-12-21,10002R,44,0,18,28
2009-12-28,10002R,44,0,18,28
2010-01-04,10002R,44,0,18,28
2010-01-11,10002R,44,0,18,28
2010-01-18,10002R,44,0,18,28
2010-01-25,10002R,43,0,18,28
2009-12-07,10080,433,0,16,267
2009-12-14,10080,433,0,16,267
2009-12-21,10080,433,0,16,267
2009-12-28,10080,433,0,16,267
2010-01-04,10080,433,0,16,267
2010-01-11,10080,433,0,16,267
2010-01-18,10080,433,0,16,267
2010-01-25,10080,433,0,16,267
2010-02-01,10080,433,0,16,267
2010-02-08,10080,433,0,16,267
2010-02-15,10080,433,0,16,267
2010-02-22,10080,433,0,16,267
2010-03-01,10080,433,0,16,267
2010-03-08,10080,433,0,16,267
2010-03-15,10080,433,0,16,267
2010-03-22,10080,433,0,16,267
2010-03-29,10080,433,0,16,267
2010-04-05,10080,433,0,16,267
2010-04-12,10080,433,0,16,267
2010-04-19,10080,433,0,16,267
2010-04-26,10080,433,0,16,267
2010-05-03,10080,433,0,16,267
2010-05-10,10080,433,0,16,267
2010-05-17,10080,433,0,16,267
2010-05-24,10080,433,0,16,267
2010-05-31,10080,433,0,16,267
2010-06-07,10080,433,0,16,267
2010-06-14,10080,433,0,16,267
2010-06-21,10080,433,0,16,267
2010-06-28,10080,433,0,16,267
2010-07-05,10080,433,0,16,267
2010-07-12,10080,433,0,16,267
2010-07-19,10080,433,0,16,267
2010-07-26,10080,433,0,16,267
2010-08-02,10080,432,0,16,267
2010-08-09,10080,432,0,16,267
2010-08-16,10080,432,0,16,267
2010-08-23,10080,432,0,16,267
2010-08-30,10080,432,0,16,267
2010-09-06,10080,432,0,16,267
2010-09-13,10080,432,0,16,267
2010-09-20,10080,426,0,16,267
2010-09-27,10080,426,0,16,267
2010-10-04,10080,426,0,16,267
2010-10-11,10080,426,0,16,267
2010-10-18,10080,426,0,16,267
2010-10-25,10080,426,0,16,267
2010-11-01,10080,426,0,16,267
2010-11-08,10080,426,0,16,267
2010-11-15,10080,426,0,16,267
2010-11-22,10080,425,0,16,267
2010-11-29,10080,425,0,16,267
2010-12-06,10080,425,0,16,267
2010-12-13,10080,425,0,16,267
2010-12-20,10080,425,0,16,267
2010-12-27,10080,425,0,16,267
2011-01-03,10080,425,0,16,267
2011-01-10,10080,425,0,16,267
2011-01-17,10080,425,0,16,267
2011-01-24,10080,425,0,16,267
2011-01-31,10080,425,0,16,267
2011-02-07,10080,425,0,16,267
2011-02-14,10080,425,0,16,267
2011-02-21,10080,425,0,16,267
2011-02-28,10080,423,0,16,267
2011-03-07,10080,423,0,16,267
2011-03-14,10080,423,0,16,267
2011-03-21,10080,423,0,16,267
2011-03-28,10080,423,0,16,267
2011-04-04,10080,423,0,16,267
2011-04-11,10080,423,0,16,267
2011-04-18,10080,423,0,16,267
2011-04-25,10080,423,0,16,267
2011-05-02,10080,423,0,16,267
2011-05-09,10080,423,0,16,267
2011-05-16,10080,423,0,16,267
2011-05-23,10080,423,0,16,267
2011-05-30,10080,423,0,16,267
2011-06-06,10080,423,0,16,267
2011-06-13,10080,423,0,16,267
2011-06-20,10080,423,0,16,267
2011-06-27,10080,375,0,16,267
2011-07-04,10080,363,0,16,267
2011-07-11,10080,351,0,16,267
2011-07-18,10080,351,0,16,267
2011-07-25,10080,351,0,16,267
2011-08-01,10080,327,0,16,267
2011-08-08,10080,291,0,16,267
2011-08-15,10080,291,0,16,267
2011-08-22,10080,279,0,16,267
2011-08-29,10080,279,0,16,267
2011-09-05,10080,267,170,16,267
2011-09-12,10080,243,170,16,267
2011-09-19,10080,231,170,16,267
2011-09-26,10080,401,170,16,267
2011-10-03,10080,389,170,16,267
2011-10-10,10080,388,170,16,267
2011-10-17,10080,385,170,16,267
2011-10-24,10080,385,170,16,267
2011-10-31,10080,383,170,16,267
2011-11-07,10080,359,170,16,267
2011-11-14,10080,323,170,16,267
2011-11-21,10080,292,170,16,267
2009-12-07,10120,256,0,13,211
2009-12-14,10120,248,0,13,211
2009-12-21,10120,242,0,13,211
2009-12-28,10120,241,0,13,211
2010-01-04,10120,211,145,13,211
2010-01-11,10120,209,145,13,211
2010-01-18,10120,354,145,13,211
2010-01-25,10120,354,145,13,211
2010-02-01,10120,354,145,13,211
2010-02-08,10120,354,145,13,211
2010-02-15,10120,350,145,13,211
2010-02-22,10120,349,145,13,211
2010-03-01,10120,349,145,13,211
2010-03-08,10120,287,145,13,211
2010-03-15,10120,281,145,13,211
2010-03-22,10120,281,145,13,211
2010-03-29,10120,281,145,13,211
2010-04-05,10120,251,145,13,211
2010-04-12,10120,251,145,13,211
2010-04-19,10120,251,145,13,211
2010-04-26,10120,251,145,13,211
2010-05-03,10120,221,145,13,211
2010-05-10,10120,221,145,13,211
2010-05-17,10120,221,145,13,211
2010-05-24,10120,217,145,13,211
