sku_id,weekly_demand_rate,on_hand_units,on_order_units,lead_time_days,reorder_point,description,unit_cost,list_price,lead_time_weeks,demand_during_leadtime,projected_position,stockout_risk_score,demand_8wk,overstock_ratio,overstock_risk_score,quadrant,value_at_stake
90214H,3.6021602796645866,0,25,7,20,"LETTER ""H"" BLING KEY RING",0.42,0.85,1.0,3.6021602796645866,21.397839720335412,0.0,28.817282237316693,0.0,0.0,Healthy,0.0
GIFT_0001_40,2.5392146649338887,18,0,8,8,Dotcomgiftshop Gift Voucher Â£40.00,16.66,33.33,1.1428571428571428,2.901959617067301,15.098040382932698,0.0,20.31371731947111,0.8861007425138596,0.0,Healthy,0.0
90214Y,3.1040244695712698,221,0,10,146,"LETTER ""Y"" BLING KEY RING",0.42,0.84,1.4285714285714286,4.4343206708161,216.5656793291839,0.0,24.832195756570158,8.899736542288144,1.0,Markdown / clear,92.82
GIFT_0001_10,2.5392146649338887,12,0,7,10,Dotcomgiftshop Gift Voucher Â£10.00,4.16,8.33,1.0,2.5392146649338887,9.460785335066111,0.053921466493388914,20.31371731947111,0.590733828342573,0.0,Healthy,0.0
GIFT_0001_20,2.5392146649338887,18,16,11,14,Dotcomgiftshop Gift Voucher Â£20.00,8.51,17.02,1.5714285714285714,3.990194473467539,30.00980552653246,0.0,20.31371731947111,0.8861007425138596,0.0,Healthy,0.0
DCGS0058,3.1040244695712698,50,26,20,41,MISO PRETTY  GUM,0.42,0.83,2.857142857142857,8.8686413416322,67.1313586583678,0.0,24.832195756570158,2.013515054816322,0.3378383516054407,Healthy,0.0
90214S,4.435574205436875,14,76,20,74,"LETTER ""S"" BLING KEY RING",0.42,0.85,2.857142857142857,12.673069158391073,77.32693084160893,0.0,35.484593643495,0.3945374192714326,0.0,Healthy,0.0
GIFT_0001_30,2.5392146649338887,20,14,14,14,Dotcomgiftshop Gift Voucher Â£30.00,12.76,25.53,2.0,5.078429329867777,28.921570670132223,0.0,20.31371731947111,0.9845563805709551,0.0,Healthy,0.0
DCGS0072,2.5392146649338887,39,0,13,21,CAT CAMOUFLAGUE COLLAR,2.58,5.17,1.8571428571428572,4.715684377734365,34.28431562226564,0.0,20.31371731947111,1.9198849421133626,0.3066283140377875,Healthy,0.0
90214V,3.1040244695712698,52,22,19,46,"LETTER ""V"" BLING KEY RING",0.42,0.85,2.7142857142857144,8.425209274550589,65.57479072544942,0.0,24.832195756570158,2.094055657008975,0.3646852190029916,Healthy,0.0
90214R,3.1040244695712698,0,38,7,24,"LETTER ""R"" BLING KEY RING",0.42,0.85,1.0,3.1040244695712698,34.89597553042873,0.0,24.832195756570158,0.0,0.0,Healthy,0.0
90214Z,3.1040244695712698,33,31,14,40,"LETTER ""Z"" BLING KEY RING",0.42,0.85,2.0,6.2080489391425395,57.79195106085746,0.0,24.832195756570158,1.3289199361787725,0.10963997872625748,Healthy,0.0
90214U,3.1040244695712698,225,0,15,147,"LETTER ""U"" BLING KEY RING",0.38,0.77,2.142857142857143,6.65148100622415,218.34851899377585,0.0,24.832195756570158,9.060817746673449,1.0,Markdown / clear,85.5
90214T,3.1040244695712698,48,36,7,33,"LETTER ""T"" BLING KEY RING",0.52,1.05,1.0,3.1040244695712698,80.89597553042873,0.0,24.832195756570158,1.9329744526236692,0.31099148420788975,Healthy,0.0
90214E,3.6021602796645866,19,71,11,43,"LETTER ""E"" BLING KEY RING",0.42,0.85,1.5714285714285714,5.660537582330065,84.33946241766994,0.0,28.817282237316693,0.6593265750576615,0.0,Healthy,0.0
DCGS0070,2.5392146649338887,34,0,21,21,CAMOUFLAGE DOG COLLAR,6.36,12.72,3.0,7.617643994801666,26.382356005198332,0.0,20.31371731947111,1.6737458469706237,0.2245819489902079,Healthy,0.0
GIFT_0001_50,2.5392146649338887,29,0,20,20,Dotcomgiftshop Gift Voucher Â£50.00,21.06,42.11,2.857142857142857,7.254899042668254,21.745100957331747,0.0,20.31371731947111,1.427606751827885,0.14253558394262833,Healthy,0.0
GIFT_0001_80,2.5392146649338887,29,0,16,16,Dotcomgiftshop Gift Voucher Â£80.00,34.78,69.56,2.2857142857142856,5.803919234134602,23.196080765865396,0.0,20.31371731947111,1.427606751827885,0.14253558394262833,Healthy,0.0
DCGS0004,2.5392146649338887,29,0,18,18,HAYNES CAMPER SHOULDER BAG,8.49,16.98,2.5714285714285716,6.529409138401428,22.470590861598573,0.0,20.31371731947111,1.427606751827885,0.14253558394262833,Healthy,0.0
90214P,3.1040244695712698,51,36,11,45,"LETTER ""P"" BLING KEY RING",0.62,1.25,1.5714285714285714,4.877752737897709,82.12224726210229,0.0,24.832195756570158,2.053785355912648,0.3512617853042161,Healthy,0.0
90214G,3.6021602796645866,38,36,17,68,"LETTER ""G"" BLING KEY RING",0.42,0.85,2.4285714285714284,8.748103536328282,65.25189646367171,0.040413287298945444,28.817282237316693,1.318653150115323,0.10621771670510764,Healthy,0.0
DCGS0069,2.5392146649338887,30,0,20,20,OOH LA LA DOGS COLLAR,8.06,16.13,2.857142857142857,7.254899042668254,22.745100957331747,0.0,20.31371731947111,1.4768345708564328,0.15894485695214425,Healthy,0.0
90214K,3.6021602796645866,8,62,19,57,"LETTER ""K"" BLING KEY RING",0.62,1.25,2.7142857142857144,9.777292187661022,60.22270781233898,0.0,28.817282237316693,0.27761118949796276,0.0,Healthy,0.0
