sku_id,description,category,subcategory,launch_date,unit_cost,list_price
10002,INFLATABLE POLITICAL GLOBE,General Merchandise,Inflatable,2009-12-01 09:08:00,0.42,0.85
10002R,ROBOT PENCIL SHARPNER,Stationery & Cards,Robot,2009-12-02 14:43:00,2.84,5.17
10080,GROOVY CACTUS INFLATABLE,General Merchandise,Groovy,2009-12-02 16:02:00,0.2,0.39
10109,BENDY COLOUR PENCILS,Stationery & Cards,Bendy,2009-12-03 12:31:00,0.23,0.42
10120,DOGGY RUBBER,General Merchandise,Doggy,2009-12-01 16:17:00,0.1,0.21
10123C,HEARTS WRAPPING TAPE,General Merchandise,Hearts,2009-12-01 14:28:00,0.32,0.65
10123G,ARMY CAMO WRAPPING TAPE,General Merchandise,Army,2009-12-01 14:28:00,0.32,0.65
10124A,SPOTS ON RED BOOKCOVER TAPE,General Merchandise,Spots,2010-03-19 14:05:00,0.21,0.42
10124G,ARMY CAMO BOOKCOVER TAPE,General Merchandise,Army,2010-05-13 16:49:00,0.21,0.42
10125,MINI FUNKY DESIGN TAPES,General Merchandise,Mini,2009-12-01 14:28:00,0.42,0.85
10133,COLOURING PENCILS BROWN TUBE,Stationery & Cards,Colouring,2009-12-01 11:45:00,0.46,0.83
10134,COLOURING PENCILS BROWN TUBE,Stationery & Cards,Colouring,2009-12-03 14:28:00,0.69,1.25
10135,COLOURING PENCILS BROWN TUBE,Stationery & Cards,Colouring,2009-12-01 11:45:00,0.69,1.25
10138,ASSORTED COLOUR JUMBO PEN,Stationery & Cards,Assorted,2009-12-02 12:43:00,0.23,0.42
11001,ASSTD DESIGN RACING CAR PEN,Stationery & Cards,Asstd,2009-12-01 14:28:00,0.93,1.69
15030,FAN BLACK FRAME,Home & Decor,Fan,2009-12-13 14:38:00,0.14,0.29
15034,PAPER POCKET TRAVELING FAN,Stationery & Cards,Paper,2009-12-01 14:28:00,0.08,0.14
15036,ASSORTED COLOURS SILK FAN,General Merchandise,Assorted,2009-12-01 16:05:00,0.42,0.83
15039,SANDALWOOD FAN,General Merchandise,Sandalwood,2009-12-03 12:02:00,0.42,0.85
15044A,PINK PAPER PARASOL,Stationery & Cards,Pink,2009-12-07 11:46:00,1.62,2.95
15044B,BLUE PAPER PARASOL,Stationery & Cards,Blue,2009-12-01 17:45:00,1.62,2.95
15044C,PURPLE PAPER PARASOL,Stationery & Cards,Purple,2009-12-01 14:28:00,1.62,2.95
15044D,RED PAPER PARASOL,Stationery & Cards,Red,2009-12-01 14:28:00,1.62,2.95
15056BL,EDWARDIAN PARASOL BLACK,General Merchandise,Edwardian,2009-12-01 11:50:00,2.98,5.95
15056N,EDWARDIAN PARASOL NATURAL,General Merchandise,Edwardian,2009-12-01 11:50:00,2.98,5.95
15056P,EDWARDIAN PARASOL PINK,General Merchandise,Edwardian,2009-12-01 16:17:00,2.98,5.95
15058A,BLUE POLKADOT GARDEN PARASOL,Garden,Blue,2010-01-24 12:12:00,3.98,7.95
15058B,PINK POLKADOT GARDEN PARASOL,Garden,Pink,2010-01-13 17:51:00,3.98,7.95
15058C,ICE CREAM DESIGN GARDEN PARASOL,Garden,Ice,2010-01-24 12:12:00,3.98,7.95
15059A,ENGLISH ROSE EDWARDIAN PARASOL,General Merchandise,English,2009-12-01 14:28:00,6.5,13.0
15060B,FAIRY CAKE DESIGN UMBRELLA,Kitchenware,Fairy,2009-12-03 13:32:00,1.88,3.75
16008,SMALL FOLDING SCISSOR(POINTED EDGE),General Merchandise,Small,2010-03-19 14:02:00,0.06,0.12
16010,FOLDING CAMPING SCISSOR W/KNIF & S,General Merchandise,Folding,2010-01-17 12:12:00,0.06,0.12
16011,ANIMAL STICKERS,Stationery & Cards,Animal,2009-12-04 11:22:00,0.12,0.21
16012,FOOD/DRINK SPONGE STICKERS,Stationery & Cards,Food/Drink,2009-12-02 12:26:00,0.12,0.21
16014,SMALL CHINESE STYLE SCISSOR,General Merchandise,Small,2009-12-03 16:49:00,0.21,0.42
16015,MEDIUM CHINESE STYLE SCISSOR,General Merchandise,Medium,2009-12-03 14:36:00,0.25,0.5
16016,LARGE CHINESE STYLE SCISSOR,General Merchandise,Large,2009-12-03 16:49:00,0.42,0.85
16020C,CLEAR STATIONERY BOX SET,General Merchandise,Clear,2009-12-07 13:24:00,0.42,0.85
16033,MINI HIGHLIGHTER PENS,Home & Decor,Mini,2009-12-10 12:44:00,0.06,0.12
16043,POP ART PUSH DOWN RUBBER,General Merchandise,Pop,2009-12-16 13:23:00,0.21,0.42
16044,POP-ART FLUORESCENT PENS,Stationery & Cards,Pop-Art,2010-01-07 14:20:00,0.23,0.42
16045,POPART WOODEN PENCILS ASST,Stationery & Cards,Popart,2010-01-07 14:20:00,0.02,0.04
16046,TEATIME PEN CASE & PENS,Stationery & Cards,Teatime,2009-12-04 14:19:00,0.47,0.85
16047,POP ART PEN CASE & PENS,Stationery & Cards,Pop,2009-12-01 12:13:00,0.47,0.85
16048,TEATIME ROUND PENCIL SHARPENER,Stationery & Cards,Teatime,2009-12-07 18:02:00,0.07,0.12
16049,TEATIME GEL PENS ASST,Stationery & Cards,Teatime,2009-12-04 15:26:00,0.23,0.42
16050,TEATIME PENCIL WITH RUBBER,Stationery & Cards,Teatime,2010-02-16 17:24:00,0.22,0.4
16051,TEATIME PENCIL W STAMP ASST,Stationery & Cards,Teatime,2009-12-10 15:45:00,0.23,0.42
16052,TEATIME PUSH DOWN RUBBER,General Merchandise,Teatime,2009-12-16 17:01:00,0.21,0.42
16053,POPART COL BALLPOINT PEN ASST,Stationery & Cards,Popart,2010-01-07 14:20:00,0.12,0.21
16054,POPART RECT PENCIL SHARPENER ASST,Stationery & Cards,Popart,2010-01-07 14:20:00,0.07,0.12
16119,FUNKY GIRL ADDRESS BOOK,General Merchandise,Funky,2009-12-10 16:21:00,0.62,1.25
16151A,FLOWERS HANDBAG blue and orange,Bags & Accessories,Flowers,2010-04-30 15:39:00,0.62,1.25
